--------------------
BDMEP - INMET
--------------------
Estação           : RECIFE  CURADO  - PE (OMM: 82900)
Latitude  (graus) : -8.05
Longitude (graus) : -34.95
Altitude  (metros): 10.00
Estação Operante
Inicio de operação: 07/07/1961
Periodo solicitado dos dados: 01/01/2000 a 12/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;
82900;27/02/2000;1200;9.3;;24.8;;;
82900;28/02/2000;0000;;30.4;;6.7;73;
82900;28/02/2000;1200;0;;22.7;;;
82900;29/02/2000;0000;;30.5;;6;70.25;
82900;29/02/2000;1200;0;;23;;;
82900;01/03/2000;0000;;30;;4.3;77.75;
82900;01/03/2000;1200;5.2;;22.8;;;
82900;02/03/2000;0000;;30.7;;8.6;72;
82900;02/03/2000;1200;1;;24.7;;;
82900;03/03/2000;0000;;29.8;;3.4;77.75;
82900;03/03/2000;1200;13;;22.9;;;
82900;04/03/2000;0000;;30.4;;7.5;73;
82900;04/03/2000;1200;1.7;;22.1;;;
82900;05/03/2000;0000;;30.2;;8.5;75;
82900;05/03/2000;1200;4.6;;23.2;;;
82900;06/03/2000;0000;;30.4;;9.6;71.5;
82900;06/03/2000;1200;0.1;;23.5;;;
82900;07/03/2000;0000;;29.5;;3;90.5;
82900;07/03/2000;1200;16;;23.6;;;
82900;08/03/2000;0000;;30.7;;8;76.75;
82900;08/03/2000;1200;0.9;;22.4;;;
82900;09/03/2000;0000;;30.4;;8.1;78;
82900;09/03/2000;1200;4.8;;24;;;
82900;10/03/2000;0000;;29.4;;0;75.75;
82900;10/03/2000;1200;1.9;;24;;;
82900;11/03/2000;0000;;30.5;;9.3;71.25;
82900;11/03/2000;1200;1.2;;23;;;
82900;12/03/2000;0000;;31;;10.1;67.25;
82900;12/03/2000;1200;0;;22;;;
82900;13/03/2000;0000;;31.5;;7.8;70.25;
82900;13/03/2000;1200;0;;24;;;
82900;14/03/2000;0000;;31.3;;7.9;77.5;
82900;14/03/2000;1200;1.6;;23.1;;;
82900;15/03/2000;0000;;30.9;;9.2;67.75;
82900;15/03/2000;1200;0;;24.9;;;
82900;16/03/2000;0000;;30.7;;6.1;66;
82900;16/03/2000;1200;0;;24;;;
82900;17/03/2000;0000;;30.8;;9.5;67.5;
82900;17/03/2000;1200;0;;22.9;;;
82900;18/03/2000;0000;;30.9;;9.3;70.5;
82900;18/03/2000;1200;0;;23.2;;;
82900;19/03/2000;0000;;31;;9.2;71.25;
82900;19/03/2000;1200;0;;23.6;;;
82900;20/03/2000;0000;;30.7;;9.3;69.75;
82900;20/03/2000;1200;2.6;;24.7;;;
82900;21/03/2000;0000;;30.2;;7.5;70.5;
82900;21/03/2000;1200;14.2;;23;;;
82900;22/03/2000;0000;;30.7;;10.6;65.5;
82900;22/03/2000;1200;0;;21;;;
82900;23/03/2000;0000;;30.6;;10;70.25;
82900;23/03/2000;1200;0.7;;22.9;;;
82900;24/03/2000;0000;;30.2;;7.1;78.5;
82900;24/03/2000;1200;10.7;;23.9;;;
82900;25/03/2000;0000;;30.2;;8;85.25;
82900;25/03/2000;1200;19;;20.2;;;
82900;26/03/2000;0000;;30;;9.5;74.25;
82900;26/03/2000;1200;10;;23.4;;;
82900;27/03/2000;0000;;30;;8;76;
82900;27/03/2000;1200;23;;23.6;;;
82900;28/03/2000;0000;;29.9;;6.6;79.75;
82900;28/03/2000;1200;10.4;;23.8;;;
82900;29/03/2000;0000;;29.7;;3.7;80;
82900;29/03/2000;1200;1;;24.5;;;
82900;30/03/2000;0000;;27.8;;0.2;90.75;
82900;30/03/2000;1200;27.8;;22.5;;;
82900;31/03/2000;0000;;29.7;;2;82.75;
82900;31/03/2000;1200;2.7;;22.4;;;
82900;01/04/2000;0000;;30;;3.8;84.5;
82900;01/04/2000;1200;21;;23.1;;;
82900;02/04/2000;0000;;30.3;;9.6;72.5;
82900;02/04/2000;1200;1.5;;26.2;;;
82900;03/04/2000;0000;;30;;8.6;84;
82900;03/04/2000;1200;1.2;;23.6;;;
82900;04/04/2000;0000;;29.9;;9.6;68.5;
82900;04/04/2000;1200;41.4;;23.8;;;
82900;05/04/2000;0000;;30.1;;10.4;74;
82900;05/04/2000;1200;0;;22.8;;;
82900;06/04/2000;0000;;29.9;;8.1;77.5;
82900;06/04/2000;1200;18;;23.5;;;
82900;07/04/2000;0000;;30.2;;10.4;81;
82900;07/04/2000;1200;0.3;;22.2;;;
82900;08/04/2000;0000;;27.5;;1.3;96.75;
82900;08/04/2000;1200;19.9;;22.6;;;
82900;09/04/2000;0000;;28.4;;1.6;86;
82900;09/04/2000;1200;117;;22;;;
82900;10/04/2000;0000;;29;;2.2;86.5;
82900;10/04/2000;1200;0.6;;24.7;;;
82900;11/04/2000;0000;;29.4;;5.6;92.5;
82900;11/04/2000;1200;15.8;;22.8;;;
82900;12/04/2000;0000;;29.2;;2.7;86;
82900;12/04/2000;1200;23;;23.6;;;
82900;13/04/2000;0000;;29.5;;6.4;81.75;
82900;13/04/2000;1200;20.1;;23.9;;;
82900;14/04/2000;0000;;30;;8.6;84.75;
82900;14/04/2000;1200;3.2;;23.4;;;
82900;15/04/2000;0000;;30;;1.9;86;
82900;15/04/2000;1200;4.6;;23.8;;;
82900;16/04/2000;0000;;29.7;;6.7;85;
82900;16/04/2000;1200;0.2;;24.6;;;
82900;17/04/2000;0000;;26.8;;0;92.5;
82900;17/04/2000;1200;25.8;;23;;;
82900;18/04/2000;0000;;29.5;;7.7;88.75;
82900;18/04/2000;1200;3.3;;22.4;;;
82900;19/04/2000;0000;;30.1;;6.3;90.5;
82900;19/04/2000;1200;9.6;;19.4;;;
82900;20/04/2000;0000;;30.2;;8.7;81.25;
82900;20/04/2000;1200;0.3;;23.9;;;
82900;21/04/2000;0000;;30.1;;9.4;79;
82900;21/04/2000;1200;4;;23.8;;;
82900;22/04/2000;0000;;31.2;;10.2;80;
82900;22/04/2000;1200;0;;22.6;;;
82900;23/04/2000;0000;;30.9;;9.1;76.5;
82900;23/04/2000;1200;0;;22.2;;;
82900;24/04/2000;0000;;30.1;;8.5;81;
82900;24/04/2000;1200;6.3;;24;;;
